Make,Model,Injury.Severity,Aircraft.damage,Total.Serious.Injuries,Total.Fatal.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Investigation.Type,Engine.Type
Piper,PA-28-161,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Cessna,T210L,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Cruise,Accident,Reciprocating
Piper,PA-28R-201T,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Mooney,M20A,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Landing,Accident,Reciprocating
Cessna,175,Non-Fatal,Destroyed,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Beech,V35,Fatal(1),Destroyed,0.0,1.0,0.0,VMC,Takeoff,Accident,Reciprocating
Cessna,152,Fatal(2),Destroyed,0.0,2.0,0.0,IMC,Cruise,Accident,Reciprocating
Cessna,152II,Non-Fatal,Substantial,0.0,0.0,0.0,VMC,Climb,Accident,Reciprocating
Cessna,172I,Non-Fatal,Substantial,4.0,0.0,0.0,VMC,Takeoff,Accident,Reciprocating
Grumman,AA1B,Non-Fatal,Substantial,0.0,0.0,0.0,VMC,Takeoff,Accident,Reciprocating
Beech,BE-77,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Cessna,172M,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Cessna,172N,Non-Fatal,Substantial,0.0,0.0,4.0,VMC,Landing,Accident,Reciprocating
Cessna,150H,Non-Fatal,Destroyed,0.0,0.0,1.0,VMC,Approach,Accident,Reciprocating
Beech,H35,Non-Fatal,Destroyed,0.0,0.0,0.0,VMC,Cruise,Accident,Reciprocating
Beech,95-A55,Fatal(1),Destroyed,0.0,1.0,0.0,VMC,Takeoff,Accident,Reciprocating
Piper,PA-22,Non-Fatal,Destroyed,1.0,0.0,0.0,VMC,Takeoff,Accident,Reciprocating
Cessna,310C,Fatal(1),Destroyed,0.0,1.0,0.0,VMC,Approach,Accident,Reciprocating
Cessna,172N,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Landing,Accident,Reciprocating
Cessna,152,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Takeoff,Accident,Reciprocating
Piper,PA-24-250,Non-Fatal,Substantial,0.0,0.0,4.0,VMC,Cruise,Accident,Reciprocating
Grumman,G-164A,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Maneuvering,Accident,Reciprocating
Piper,PA-30,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Landing,Accident,Reciprocating
Bell,47G3-B1,Non-Fatal,Substantial,0.0,0.0,3.0,VMC,Climb,Accident,Reciprocating
Cessna,180,Non-Fatal,Substantial,0.0,0.0,2.0,IMC,Landing,Accident,Reciprocating
Cessna,172H,Non-Fatal,Substantial,0.0,0.0,4.0,VMC,Landing,Accident,Reciprocating
Piper,PA-34-200T,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Landing,Accident,Reciprocating
Beech,58,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Cruise,Accident,Reciprocating
Cessna,177RG,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Cessna,310C,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Landing,Accident,Reciprocating
Bell,206B,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Takeoff,Accident,Turbo Shaft
Bellanca,7GCBC,Non-Fatal,Substantial,0.0,0.0,0.0,VMC,Go-around,Accident,Reciprocating
Cessna,172N,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Landing,Accident,Reciprocating
Piper,PA-18,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Takeoff,Accident,Reciprocating
Bell,206B,Fatal(3),Destroyed,0.0,3.0,0.0,IMC,Cruise,Accident,Turbo Shaft
Cessna,180,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Takeoff,Accident,Reciprocating
Cessna,140A,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Takeoff,Accident,Reciprocating
Cessna,T210M,Non-Fatal,Destroyed,1.0,0.0,0.0,IMC,Cruise,Accident,Reciprocating
Cessna,150L,Non-Fatal,Destroyed,1.0,0.0,1.0,VMC,Go-around,Accident,Reciprocating
Piper,PA-38-112,Fatal(2),Destroyed,0.0,2.0,0.0,VMC,Approach,Accident,Reciprocating
Piper,PA-28-151,Fatal(2),Destroyed,0.0,2.0,0.0,VMC,Climb,Accident,Reciprocating
Grumman,G-164A,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Maneuvering,Accident,Reciprocating
Piper,PA-28-181,Fatal(3),Destroyed,0.0,3.0,0.0,VMC,Cruise,Accident,Reciprocating
Bellanca,14-19-3A,Fatal(1),Destroyed,0.0,1.0,0.0,VMC,Cruise,Accident,Reciprocating
Cessna,172N,Fatal(1),Destroyed,0.0,1.0,0.0,IMC,Cruise,Accident,Reciprocating
Piper,PA-24-260,Non-Fatal,Substantial,0.0,0.0,4.0,VMC,Landing,Accident,Reciprocating
Beech,B35,Non-Fatal,Substantial,0.0,0.0,4.0,VMC,Landing,Accident,Reciprocating
Cessna,206,Non-Fatal,Substantial,2.0,0.0,0.0,VMC,Takeoff,Accident,Reciprocating
Cessna,150J,Non-Fatal,Substantial,0.0,0.0,0.0,VMC,Cruise,Accident,Reciprocating
Piper,J3C-65,Non-Fatal,Destroyed,0.0,0.0,1.0,VMC,Takeoff,Accident,Reciprocating
Bellanca,73CA,Fatal(1),Destroyed,1.0,1.0,0.0,VMC,Landing,Accident,Reciprocating
Cessna,172,Non-Fatal,Substantial,0.0,0.0,0.0,VMC,Takeoff,Accident,Reciprocating
Cessna,150M,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Takeoff,Accident,Reciprocating
Piper,PA-16,Non-Fatal,Substantial,2.0,0.0,0.0,VMC,Go-around,Accident,Reciprocating
Cessna,T210N,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Landing,Accident,Reciprocating
Cessna,182F,Fatal(2),Destroyed,0.0,2.0,0.0,VMC,Cruise,Accident,Reciprocating
Cessna,150L,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Cruise,Accident,Reciprocating
Cessna,T210N,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Landing,Accident,Reciprocating
Cessna,R172,Non-Fatal,Substantial,0.0,0.0,4.0,VMC,Landing,Accident,Reciprocating
Cessna,150,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Takeoff,Accident,Reciprocating
Cessna,U206,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Landing,Accident,Reciprocating
Cessna,182B,Fatal(4),Destroyed,0.0,4.0,0.0,IMC,Cruise,Accident,Reciprocating
Piper,PA-30,Fatal(2),Destroyed,0.0,2.0,0.0,VMC,Unknown,Accident,Reciprocating
Cessna,T210-H,Fatal(2),Destroyed,0.0,2.0,0.0,IMC,Cruise,Accident,Reciprocating
Bellanca,7EC,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Cruise,Accident,Reciprocating
Cessna,152,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Cessna,150J,Non-Fatal,Substantial,0.0,0.0,0.0,VMC,Landing,Accident,Reciprocating
Cessna,152,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Cessna,C-207,Non-Fatal,Substantial,0.0,0.0,5.0,VMC,Taxi,Accident,Reciprocating
Piper,PA-23-170,Fatal(4),Destroyed,0.0,4.0,0.0,VMC,Cruise,Accident,Reciprocating
Cessna,172RG,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Cessna,210,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Approach,Accident,Reciprocating
Cessna,172P,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Taxi,Accident,Reciprocating
Piper,PA-34-220T,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Cessna,340,Non-Fatal,Substantial,1.0,0.0,4.0,IMC,Approach,Accident,Reciprocating
Bellanca,7GCBC,Non-Fatal,Substantial,0.0,0.0,0.0,VMC,Approach,Accident,Reciprocating
Beech,3NM,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Beech,QU-22A 1074,Fatal(1),Destroyed,0.0,1.0,0.0,IMC,Maneuvering,Accident,Reciprocating
Hughes,500,Non-Fatal,Substantial,0.0,0.0,4.0,VMC,Standing,Accident,Turbo Shaft
Cessna,182F,Non-Fatal,Destroyed,0.0,0.0,1.0,VMC,Cruise,Accident,Reciprocating
Cessna,T207A,Non-Fatal,Destroyed,0.0,0.0,2.0,VMC,Approach,Accident,Reciprocating
Cessna,421C,Fatal(1),Destroyed,0.0,1.0,0.0,VMC,Climb,Accident,Reciprocating
Piper,PA-34-200T,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Cessna,172L,Non-Fatal,Destroyed,1.0,0.0,0.0,VMC,Descent,Accident,Reciprocating
Piper,PA-18,Non-Fatal,Destroyed,0.0,0.0,2.0,VMC,Maneuvering,Accident,Reciprocating
Mooney,M20C,Fatal(1),Destroyed,0.0,1.0,0.0,UNK,Climb,Accident,Reciprocating
Piper,PA-32-300,Fatal(2),Destroyed,0.0,2.0,0.0,IMC,Cruise,Accident,Reciprocating
Piper,J3C-65,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Takeoff,Accident,Reciprocating
Grumman,G-164A,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Takeoff,Accident,Reciprocating
Cessna,150L,Fatal(1),Substantial,0.0,1.0,0.0,VMC,Maneuvering,Accident,Reciprocating
Piper,PA-18,Non-Fatal,Substantial,2.0,0.0,0.0,VMC,Takeoff,Accident,Reciprocating
Cessna,U-206C,Fatal(1),Substantial,2.0,1.0,0.0,VMC,Landing,Accident,Reciprocating
Piper,PA-12,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Go-around,Accident,Reciprocating
Hughes,369D,Fatal(3),Destroyed,0.0,3.0,0.0,VMC,Maneuvering,Accident,Turbo Shaft
Cessna,414-8,Non-Fatal,Destroyed,3.0,0.0,1.0,IMC,Takeoff,Accident,Reciprocating
Cessna,172N,Non-Fatal,Destroyed,2.0,0.0,0.0,VMC,Landing,Accident,Reciprocating
Cessna,206,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Piper,PA28-151,Non-Fatal,Substantial,0.0,0.0,0.0,VMC,Landing,Accident,Reciprocating
Beech,A-36,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Cruise,Accident,Reciprocating
Piper,PA-38-112,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Landing,Accident,Reciprocating
Cessna,A185E,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Landing,Accident,Reciprocating
Bell,222,Non-Fatal,Substantial,0.0,0.0,0.0,VMC,Takeoff,Accident,Turbo Shaft
Bellanca,17-31A,Incident,Minor,0.0,0.0,1.0,VMC,Cruise,Incident,Reciprocating
Cessna,150M,Non-Fatal,Destroyed,2.0,0.0,0.0,VMC,Maneuvering,Accident,Reciprocating
Beech,99A,Incident,Minor,0.0,0.0,6.0,IMC,Climb,Incident,Turbo Prop
Cessna,172,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Approach,Accident,Reciprocating
Cessna,152,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Cessna,172K,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Takeoff,Accident,Reciprocating
Piper,PA38,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Climb,Accident,Reciprocating
Cessna,152II,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Piper,PA-18,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Piper,PA-23-250,Non-Fatal,Destroyed,0.0,0.0,0.0,VMC,Takeoff,Accident,Reciprocating
Cessna,TR182RG,Fatal(1),Destroyed,0.0,1.0,0.0,IMC,Cruise,Accident,Reciprocating
Piper,PA-38-112,Non-Fatal,Destroyed,0.0,0.0,0.0,VMC,Takeoff,Accident,Reciprocating
Cessna,414,Non-Fatal,Substantial,1.0,0.0,0.0,IMC,Approach,Accident,Reciprocating
Piper,PA-38-112,Fatal(1),Destroyed,0.0,1.0,0.0,IMC,Cruise,Accident,Reciprocating
Piper,PA-32R-301,Fatal(4),Destroyed,0.0,4.0,0.0,IMC,Approach,Accident,Reciprocating
Beech,58,Fatal(2),Destroyed,0.0,2.0,0.0,IMC,Go-around,Accident,Reciprocating
Beech,A36,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Go-around,Accident,Reciprocating
Piper,PA-22-20,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Landing,Accident,Reciprocating
Grumman,G-164A,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Maneuvering,Accident,Reciprocating
Cessna,172M,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Beech,G-18S,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Takeoff,Accident,Reciprocating
Piper,PA-22-108,Non-Fatal,Destroyed,2.0,0.0,0.0,VMC,Approach,Accident,Reciprocating
Piper,PA32RT-300T,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Approach,Accident,Reciprocating
Beech,C-45H,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Cruise,Accident,Reciprocating
Cessna,150M,Fatal(2),Destroyed,0.0,2.0,0.0,IMC,Maneuvering,Accident,Reciprocating
Beech,58P,Fatal(1),Destroyed,1.0,1.0,0.0,IMC,Landing,Accident,Reciprocating
Cessna,180,Fatal(1),Destroyed,0.0,1.0,0.0,IMC,Descent,Accident,Reciprocating
Piper,PA-28-181,Fatal(1),Destroyed,1.0,1.0,0.0,IMC,Descent,Accident,Reciprocating
Cessna,172P,Non-Fatal,Substantial,0.0,0.0,3.0,VMC,Cruise,Accident,Reciprocating
Beech,C24R,Non-Fatal,Substantial,0.0,0.0,4.0,VMC,Approach,Accident,Reciprocating
Beech,95,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Landing,Accident,Reciprocating
Piper,PA-28-161,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Landing,Accident,Reciprocating
Cessna,150M,Non-Fatal,Substantial,0.0,0.0,0.0,VMC,Taxi,Accident,Reciprocating
Cessna,152,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Cessna,152,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Cruise,Accident,Reciprocating
Piper,PA-28-140,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Takeoff,Accident,Reciprocating
Cessna,320B,Non-Fatal,Substantial,0.0,0.0,3.0,VMC,Takeoff,Accident,Reciprocating
Piper,PA-23-250,Non-Fatal,Substantial,0.0,0.0,5.0,VMC,Landing,Accident,Reciprocating
Bell,47-G2,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Maneuvering,Accident,Reciprocating
Cessna,152,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Go-around,Accident,Reciprocating
Cessna,152,Non-Fatal,Substantial,0.0,0.0,0.0,VMC,Cruise,Accident,Reciprocating
Cessna,R172K,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Go-around,Accident,Reciprocating
Cessna,172,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Piper,PA-38-112,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Cruise,Accident,Reciprocating
Cessna,177RG,Non-Fatal,Substantial,0.0,0.0,0.0,VMC,Cruise,Accident,Reciprocating
Piper,PA-60,Incident,Minor,0.0,0.0,1.0,VMC,Landing,Incident,Reciprocating
Cessna,340,Fatal(1),Destroyed,0.0,1.0,0.0,VMC,Maneuvering,Accident,Reciprocating
Beech,76,Non-Fatal,Substantial,0.0,0.0,3.0,VMC,Landing,Accident,Reciprocating
Hughes,269A,Non-Fatal,Substantial,0.0,0.0,0.0,VMC,Cruise,Accident,Reciprocating
Bell,206B,Fatal(2),Destroyed,1.0,2.0,0.0,UNK,Cruise,Accident,Turbo Shaft
Bell,206B,Non-Fatal,Destroyed,1.0,0.0,0.0,VMC,Cruise,Accident,Turbo Shaft
Piper,PA-25-235,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Maneuvering,Accident,Reciprocating
Hughes,500D/369D,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Cruise,Accident,Turbo Shaft
Mooney,M20E,Fatal(3),Destroyed,0.0,3.0,0.0,IMC,Cruise,Accident,Reciprocating
Piper,PA-32R-300,Fatal(1),Destroyed,1.0,1.0,0.0,IMC,Cruise,Accident,Reciprocating
Cessna,310J,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Landing,Accident,Reciprocating
Cessna,195,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Beech,G18S,Non-Fatal,Destroyed,0.0,0.0,0.0,VMC,Takeoff,Accident,Reciprocating
Cessna,172P,Non-Fatal,Destroyed,0.0,0.0,2.0,VMC,Cruise,Accident,Reciprocating
Boeing,747-131,Incident,Minor,0.0,0.0,365.0,VMC,Taxi,Incident,Turbo Fan
Cessna,P210N,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Cruise,Accident,Reciprocating
Piper,PA-28-140,Fatal(2),Destroyed,0.0,2.0,0.0,IMC,Approach,Accident,Reciprocating
Bellanca,8KCAB,Fatal(1),Destroyed,0.0,1.0,0.0,VMC,Maneuvering,Accident,Reciprocating
Piper,PA-24-250,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Landing,Accident,Reciprocating
Piper,PA-28-151,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Cruise,Accident,Reciprocating
Mooney,M20C,Non-Fatal,Substantial,0.0,0.0,3.0,VMC,Cruise,Accident,Reciprocating
Piper,PA-30,Non-Fatal,Destroyed,1.0,0.0,0.0,VMC,Landing,Accident,Reciprocating
Cessna,T210L,Incident,Minor,0.0,0.0,2.0,VMC,Takeoff,Incident,Reciprocating
Beech,95-A55,Non-Fatal,Substantial,2.0,0.0,0.0,VMC,Maneuvering,Accident,Reciprocating
Cessna,182A,Non-Fatal,Substantial,1.0,0.0,0.0,VMC,Approach,Accident,Reciprocating
Cessna,150M,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Maneuvering,Accident,Reciprocating
Cessna,310C,Non-Fatal,Substantial,0.0,0.0,3.0,VMC,Landing,Accident,Reciprocating
Bell,47D1,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Cruise,Accident,Reciprocating
Beech,C23,Fatal(2),Destroyed,2.0,2.0,0.0,IMC,Approach,Accident,Reciprocating
Piper,PA-32-300,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Landing,Accident,Reciprocating
Cessna,150,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Landing,Accident,Reciprocating
Bellanca,7ECA,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Maneuvering,Accident,Reciprocating
Piper,PA-32-301,Non-Fatal,Substantial,0.0,0.0,3.0,VMC,Landing,Accident,Reciprocating
Cessna,150K,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Cruise,Accident,Reciprocating
Cessna,T210N,Non-Fatal,Substantial,1.0,0.0,0.0,IMC,Cruise,Accident,Reciprocating
Cessna,C-152,Non-Fatal,Destroyed,0.0,0.0,1.0,VMC,Climb,Accident,Reciprocating
Boeing,A75N1,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Cruise,Accident,Reciprocating
Beech,BE-55E,Non-Fatal,Substantial,0.0,0.0,4.0,IMC,Approach,Accident,Reciprocating
Cessna,150M,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Takeoff,Accident,Reciprocating
Piper,PA-34-200T,Non-Fatal,Substantial,0.0,0.0,4.0,VMC,Taxi,Accident,Reciprocating
Cessna,310C,Non-Fatal,Destroyed,0.0,0.0,2.0,VMC,Takeoff,Accident,Reciprocating
Piper,J3C-65,Fatal(1),Destroyed,0.0,1.0,0.0,VMC,Descent,Accident,Reciprocating
Mooney,M20C,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Cruise,Accident,Reciprocating
Cessna,401A,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Taxi,Accident,Reciprocating
Piper,PA18-150,Fatal(1),Substantial,0.0,1.0,0.0,VMC,Maneuvering,Accident,Reciprocating
Piper,PA-18-150,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Takeoff,Accident,Reciprocating
Cessna,152,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Cruise,Accident,Reciprocating
Cessna,180J,Non-Fatal,Substantial,0.0,0.0,2.0,VMC,Landing,Accident,Reciprocating
Cessna,T337B,Non-Fatal,Destroyed,2.0,0.0,0.0,VMC,Cruise,Accident,Reciprocating
Cessna,T210M,Non-Fatal,Substantial,0.0,0.0,0.0,VMC,Cruise,Accident,Reciprocating
Cessna,152,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Landing,Accident,Reciprocating
Cessna,185C,Non-Fatal,Substantial,0.0,0.0,1.0,VMC,Takeoff,Accident,Reciprocating
